,Source,Target
17,Tencent,Swiggy
17, SoftBank,Swiggy
17, Meituan,Swiggy
17, Invesco,Swiggy
17, Goldman Sachs,Swiggy
18,Techstars,Tive
18, Fifth Wall,Tive
18, RRE Ventures,Tive
18, Qualcomm Ventures,Tive
18, AXA Venture Partners,Tive
19,Sequoia Capital,Stanza Living
19, Matrix Partners,Stanza Living
19, RBL Bank,Stanza Living
19, Accel,Stanza Living
19, Sequoia Capital India,Stanza Living
20,Techstars,Twilio
20, 500 Startups,Twilio
20, Union Square Ventures,Twilio
20, Fidelity,Twilio
20, Redpoint,Twilio
21,Zomato,UrbanPiper
21, Swiggy,UrbanPiper
21, Tiger Global Management,UrbanPiper
21, Sequoia Capital India,UrbanPiper
21, Axilor Ventures,UrbanPiper
22,Tencent,Tesla
22, Citi,Tesla
22, Google,Tesla
22, Morgan Stanley,Tesla
22, Goldman Sachs,Tesla
23,Sequoia Capital,Zilingo
23, Draper Associates,Zilingo
23, Susquehanna International Group (SIG),Zilingo
23, Temasek Holdings,Zilingo
23, Wavemaker Partners,Zilingo
24,Tencent,Xiaohongshu
24, Alibaba Group,Xiaohongshu
24, GSR Ventures,Xiaohongshu
24, Temasek Holdings,Xiaohongshu
24, GGV Capital,Xiaohongshu
25,New Enterprise Associates,Uniphore
25, Sorenson Capital,Uniphore
25, IIFL Finance,Uniphore
25, Chiratae Ventures,Uniphore
25, YourNest Venture Capital,Uniphore
26,Headline,Sonos
26, Redpoint,Sonos
26, Index Ventures,Sonos
26, Kohlberg Kravis Roberts,Sonos
26, EquityZen,Sonos
27,Evotec,Sanofi
27, Blackstone Life Sciences,Sanofi
28,Insight Partners,Thunes
28, Checkout.com,Thunes
28, GGV Capital,Thunes
28, Future Shape,Thunes
28, Helios Investment Partners,Thunes
29,Intact Financial Corporation,Turo
29, GV,Turo
29, Daimler,Turo
29, Shasta Ventures,Turo
29, MassChallenge,Turo
30,Goodwater Capital,Treinta
30, Y Combinator,Treinta
30, PayU,Treinta
30, Outbound Ventures,Treinta
30, Commerce Ventures,Treinta
31,SoftBank Vision Fund,Zume
31, SignalFire,Zume
31, FJ Labs,Zume
31, AME Cloud Ventures,Zume
31, Maveron,Zume
32,Gaingels,Yieldstreet
32, Edison Partners,Yieldstreet
32, FJ Labs,Yieldstreet
32, Greycroft,Yieldstreet
32, Soros Fund Management,Yieldstreet
33,Sequoia Capital,Yokoy
33, Balderton Capital,Yokoy
33, Speedinvest,Yokoy
33, Left Lane Capital,Yokoy
33, Swisscom Ventures,Yokoy
34,Andreessen Horowitz,Solana
34, BlockTower Capital,Solana
34, 500 Startups,Solana
34, Polychain,Solana
34, Slow Ventures,Solana
35,Ashika Soni,Samsung Electronics
36,Insight Partners,Shopify
36, OMERS Ventures,Shopify
36, FirstMark,Shopify
36, Bessemer Venture Partners,Shopify
36, Felicis Ventures,Shopify
37,Square,Whatfix
37, SoftBank Vision Fund,Whatfix
37, F-Prime Capital,Whatfix
37, Sequoia Capital India,Whatfix
37, Stellaris Venture Partners,Whatfix
38,Brand Foundry Ventures,Trace
38, Intel Capital,Trace
38, Toba Capital,Trace
38, NextGen Venture Partners,Trace
38, Amplify.LA,Trace
39,Tiger Global Management,Yandex
39, Almaz Capital,Yandex
39, RTP Global,Yandex
39, Roman Abramovich,Yandex
39, Baring Vostok Capital Partners,Yandex
40,KittyHawk Ventures,Vytalize Health
40, North Coast Ventures,Vytalize Health
40, Dreamit Ventures,Vytalize Health
40, Enhanced Healthcare Partners,Vytalize Health
40, Kawn Ventures,Vytalize Health
41,TA Associates,Sophos
42,Y Combinator,Squire
42, Tiger Global Management,Squire
42, AltaIR Capital,Squire
42, SB Opportunity Fund,Squire
42, Bossa Nova Investimentos,Squire
43,Tencent,Satellogic
43, Liberty Strategic Capital,Satellogic
43, Endeavor Catalyst,Satellogic
43, SoftBank Capital,Satellogic
43, Cantor Fitzgerald,Satellogic
44,General Catalyst,The Honest Company
44, M13,The Honest Company
44, Fidelity Management and Research Company,The Honest Company
44, Lightspeed Venture Partners,The Honest Company
44, L Catterton,The Honest Company
45,Spark Capital,SiFive
45, Qualcomm Ventures,SiFive
45, Coatue,SiFive
45, Khaira Capital,SiFive
45, Samsung Ventures,SiFive
46,Alumni Ventures,Shift
46, Fidelity Management and Research Company,Shift
46, Lithia Motors,Shift
46, Highland Capital Partners,Shift
46, Threshold,Shift
47,Mastercard,Zeta
47, SoftBank Vision Fund,Zeta
47, Sodexo,Zeta
48,International Finance Corporation,Sayurbox
48, Alpha JWC Ventures,Sayurbox
48, Global Brain Corporation,Sayurbox
48, Northstar Group,Sayurbox
48, Syngenta Ventures,Sayurbox
49,Zaffiro Ventures,Venture Catalysts
49, Raj Sareen,Venture Catalysts
50,Samsung Electronics,SoftBank
50, Tiger Global Management,SoftBank
51,George Burke,Viberate
51, ABC Accelerator,Viberate
52,Mubadala,Silver Lake
52, Dyal Capital Partners,Silver Lake
52, Ikhlas Capital,Silver Lake
53,8VC,Vontive
53, Founders Fund,Vontive
53, XYZ Venture Capital,Vontive
53, Goldcrest Capital,Vontive
53, Zigg Capital,Vontive
54,Sequoia Capital,Zoom
54, Qualcomm Ventures,Zoom
54, DCVC,Zoom
54, Horizons Ventures,Zoom
54, AME Cloud Ventures,Zoom
55,Andreessen Horowitz,Substack
55, Garage Capital,Substack
55, FundersClub,Substack
55, Y Combinator,Substack
55, VentureSouq,Substack
56,Temasek Holdings,UpGrad
56, International Finance Corporation,UpGrad
56, IIFL Finance,UpGrad
56, IIFL Asset Management,UpGrad
56, Unilazer Ventures,UpGrad
57,IndieBio,The EVERY Company
57, Temasek Holdings,The EVERY Company
57, SOSV,The EVERY Company
57, UpHonest Capital,The EVERY Company
57, Prosus Ventures,The EVERY Company
58,Google,Stripe
58, Sequoia Capital,Stripe
58, Andreessen Horowitz,Stripe
58, General Catalyst,Stripe
58, Y Combinator,Stripe
59,The Boeing Company,SparkCognition
59, Temasek Holdings,SparkCognition
59, US Department of Energy,SparkCognition
59, Energize Ventures,SparkCognition
59, Hearst Ventures,SparkCognition
60,Morgan Stanley,Zebra Technologies
60, Deutsche Bank,Zebra Technologies
60, North Coast Ventures,Zebra Technologies
60, J.P. Morgan Securities Inc.,Zebra Technologies
60, Plymouth Growth,Zebra Technologies
61,Goldman Sachs,Zendesk
61, Matrix Partners,Zendesk
61, Redpoint,Zendesk
61, Index Ventures,Zendesk
61, GGV Capital,Zendesk
62,European regional development fund (ERDF),Startup Wise Guys
63,Citi,Wonderschool
63, Andreessen Horowitz,Wonderschool
63, Gaingels,Wonderschool
63, Goldman Sachs,Wonderschool
63, FundersClub,Wonderschool
64,Tencent,Uber
64, Techstars,Uber
64, Citi,Uber
64, Uber,Uber
64, Sequoia Capital,Uber
65,JP Morgan,Wayflyer
65, QED Investors,Wayflyer
65, Prosus Ventures,Wayflyer
65, Anatoly Yakovenko,Wayflyer
65, Speedinvest,Wayflyer
66,Kristal.AI,Stockal
66, Hashed,Stockal
66, HDFC Bank,Stockal
66, trica,Stockal
66, Cadenza Capital Management,Stockal
68,Blockchain Capital,Securitize
68, Ava Labs,Securitize
68, Ripple,Securitize
68, Coinbase Ventures,Securitize
68, Ripio,Securitize
69,Fidelity Management and Research Company,Somatus
69, RA Capital Management,Somatus
69, GIC,Somatus
69, Optum Ventures,Somatus
69, Anthem,Somatus
70,Sequoia Capital India,Trell
70, Surge,Trell
70, Samsung Ventures,Trell
70, BEENEXT,Trell
70, Bossa Nova Investimentos,Trell
71,Kalaari Capital,WinZO
71, Makers Fund,WinZO
71, Griffin Gaming Partners,WinZO
71, Courtside Ventures,WinZO
71, Hike,WinZO
72,HarbourVest Partners,Stax
72, venVelo,Stax
72, DeepWork Capital,Stax
72, Fulcrum Equity Partners,Stax
72, Greater Sum Ventures,Stax
73,Fin Venture Capital,SamCart
73, TTV Capital,SamCart
73, Eldridge,SamCart
73, George Kaiser Family Foundation,SamCart
73, eGateway Capital,SamCart
74,Streamlined Ventures,Voyager
74, Moving Capital,Voyager
74, Stifel Financial,Voyager
75,Alibaba Group,Snapdeal
75, Kalaari Capital,Snapdeal
75, BlackRock,Snapdeal
75, Temasek Holdings,Snapdeal
75, Foxconn Technology Group,Snapdeal
76,SixThirty,Silverfort
76, Singtel Innov8,Silverfort
76, StageOne Ventures,Silverfort
76, TLV Partners,Silverfort
76, Aspect Ventures,Silverfort
78,SoftBank Vision Fund,Sendoso
78, Craft Ventures,Sendoso
78, Oak HC/FT,Sendoso
78, Hack VC,Sendoso
78, Storm Ventures,Sendoso
79,Monkâ€™s Hill Ventures,waresix
79, MDI Ventures,waresix
79, Tiger Global Management,waresix
79, Temasek Holdings,waresix
79, Emtek Group,waresix
80,SVB Capital,Tomo
80, Ribbit Capital,Tomo
80, NFX,Tomo
80, Zigg Capital,Tomo
80, DST Global,Tomo
81,SB Opportunity Fund,Welcome Tech
81, TTV Capital,Welcome Tech
81, Owl Ventures,Welcome Tech
81, Crosscut Ventures,Welcome Tech
81, Next Play Capital,Welcome Tech
82,SoftBank,Sorare
82, Eurazeo,Sorare
82, Seedcamp,Sorare
82, Headline,Sorare
82, Accel,Sorare
83,Sequoia Capital,Traveloka
83, Hillhouse Capital Group,Traveloka
83, JD.com,Traveloka
83, Global Founders Capital,Traveloka
83, East Ventures,Traveloka
84,Tencent,TrueLayer
84, Stripe,TrueLayer
84, Tiger Global Management,TrueLayer
84, Anthemis Group,TrueLayer
84, Temasek Holdings,TrueLayer
85,Elephant,Triple Whale
85, NFX,Triple Whale
85, Shaan Puri,Triple Whale
86,Digital Currency Group,Worldcoin
86, Andreessen Horowitz,Worldcoin
86, Hashed,Worldcoin
86, Coinbase Ventures,Worldcoin
86, Fifty Years,Worldcoin
87,500 Startups,Shippo
87, FundersClub,Shippo
87, Union Square Ventures,Shippo
87, BoxGroup,Shippo
87, Slow Ventures,Shippo
88,Lux Capital,Umba
88, mymobiles price,Umba
88, Palm Drive Capital,Umba
88, Bossa Nova Investimentos,Umba
88, Streamlined Ventures,Umba
89,Andreessen Horowitz,SpotOn
89, Mubadala,SpotOn
89, Coatue,SpotOn
89, Franklin Templeton Investments,SpotOn
89, Wellington Management,SpotOn
90,Tiger Global Management,Spring Health
90, RRE Ventures,Spring Health
90, Operator Partners,Spring Health
90, Northzone,Spring Health
90, AlleyCorp,Spring Health
91,Benchmark,Tinder
91, IAC,Tinder
92,Goldman Sachs Asset Management,Zilch
92, Ventura Capital,Zilch
92, dmg ventures,Zilch
92, Gauss Ventures,Zilch
92, M&F Fund,Zilch
93,Argo Blockchain,WonderFi
93, Alameda Research,WonderFi
93, Animal Capital,WonderFi
93, Canaccord Genuity Group,WonderFi
93, Josh Richards,WonderFi
94,Y Combinator,WorkRamp
94, Liquid 2 Ventures,WorkRamp
94, Initialized Capital,WorkRamp
94, OMERS Ventures,WorkRamp
94, Elad Gil,WorkRamp
95,Entrepreneur First,Tractable
95, Insight Partners,Tractable
95, Acequia Capital (AceCap),Tractable
95, Plug and Play Tech Center,Tractable
95, Zetta Venture Partners,Tractable
96,Tiger Global Management,ServiceTitan
96, T. Rowe Price,ServiceTitan
96, Index Ventures,ServiceTitan
96, Bessemer Venture Partners,ServiceTitan
96, Thoma Bravo,ServiceTitan
97,MoonPay,Yuga Labs
97, Genies,Yuga Labs
97, Animoca Brands,Yuga Labs
97, Coinbase,Yuga Labs
97, Samsung Electronics,Yuga Labs
98,IFC Financial Institutions Growth Fund,Voyager Innovations
98, IFC Emerging Asia Fund,Voyager Innovations
98, Tencent,Voyager Innovations
98, Susquehanna International Group (SIG),Voyager Innovations
98, PLDT,Voyager Innovations
99,QED Investors,TransUnion
99, Mangrove Capital Partners,TransUnion
100,Tiger Global Management,Socure
100, T. Rowe Price,Socure
100, Accel,Socure
100, Founder Collective,Socure
100, Two Sigma Ventures,Socure
101,Seedcamp,Viz
101, Insight Partners,Viz
101, GV,Viz
101, Tiger Global Management,Viz
101, Scale Venture Partners,Viz
102,Index Ventures,Typeform
102, General Atlantic,Typeform
102, Sofina,Typeform
102, Point Nine,Typeform
102, Top Tier Capital Partners,Typeform
103,8VC,Socotra
103, Insight Partners,Socotra
103, Founders Fund,Socotra
103, Caffeinated Capital,Socotra
103, Vulcan Capital,Socotra
104,Andreessen Horowitz,Spring
104, FundersClub,Spring
104, Y Combinator,Spring
104, Initialized Capital,Spring
104, Acequia Capital (AceCap),Spring
105,Zip,ZestMoney
105, Goldman Sachs,ZestMoney
105, PayU,ZestMoney
105, Quona Capital,ZestMoney
105, Coinbase Ventures,ZestMoney
106,Bessemer Venture Partners,Subject
106, Kleiner Perkins,Subject
106, Hannah Grey,Subject
106, SB Opportunity Fund,Subject
106, Bossa Nova Investimentos,Subject
107,Tiger Global Management,Wasoko
107, Quona Capital,Wasoko
107, Musha Ventures,Wasoko
107, Breyer Capital,Wasoko
107, Flucas Ventures,Wasoko
108,8VC,Twingate
108, SignalFire,Twingate
108, Bond,Twingate
108, WndrCo,Twingate
108, Green Bay Ventures,Twingate
109,RA Capital Management,Sierra Oncology
109, OrbiMed,Sierra Oncology
109, Vivo Capital,Sierra Oncology
109, Frazier Healthcare Partners,Sierra Oncology
109, Capital Midwest Fund,Sierra Oncology
110,Andreessen Horowitz,Season Health
110, Company Ventures,Season Health
110, LRVHealth,Season Health
110, Springbank Collective,Season Health
110, Toyin Ajayi,Season Health
111,General Catalyst,ThoughtSpot
111, Fidelity,ThoughtSpot
111, Lightspeed Venture Partners,ThoughtSpot
111, ServiceNow,ThoughtSpot
111, Khosla Ventures,ThoughtSpot
112,General Catalyst,Spinny
112, Tiger Global Management,Spinny
112, Kaiser Permanente,Spinny
112, Accel,Spinny
112, Elevation Capital,Spinny
113,500 Startups,ShearShare
113, Y Combinator,ShearShare
113, Lightspeed Venture Partners,ShearShare
113, Precursor Ventures,ShearShare
113, Capital Factory,ShearShare
114,Khosla Ventures,Tarana Wireless
114, K3 Ventures,Tarana Wireless
114, I Squared Capital,Tarana Wireless
114, DTCP,Tarana Wireless
114, DIRECTV,Tarana Wireless
115,Founders Fund,SESO
115, Index Ventures,SESO
115, HOF Capital,SESO
115, Shrug Capital,SESO
115, Connor Theilmann,SESO
116,VentureSouq,Sary
116, Endeavor Catalyst,Sary
116, Bossa Nova Investimentos,Sary
116, rocketship.vc,Sary
116, MSA Capital,Sary
117,Fidelity,Sweetgreen
117, T. Rowe Price,Sweetgreen
117, Franklin Templeton Investments,Sweetgreen
117, Sand Hill Angels,Sweetgreen
117, Revolution,Sweetgreen
118,Guillermo Rauch,Tinybird
118, Crane Venture Partners,Tinybird
118, CRV,Tinybird
118, Singular,Tinybird
118, Jason Warner,Tinybird
119,Sequoia Capital,StarkWare Industries
119, Ethereum Foundation,StarkWare Industries
119, ConsenSys,StarkWare Industries
119, Polychain,StarkWare Industries
119, Coinbase Ventures,StarkWare Industries
120,Accenture,SkyHive
120, Deutsche Bank,SkyHive
120, Village Capital,SkyHive
120, Accenture Ventures,SkyHive
120, Eldridge,SkyHive
121,Coatue,Sweep
121, Balderton Capital,Sweep
121, Future Shape,Sweep
121, New Wave,Sweep
121, La Famiglia,Sweep
122,Spark Capital,Wealthfront
122, Greylock,Wealthfront
122, Tiger Global Management,Wealthfront
122, Slow Ventures,Wealthfront
122, Science,Wealthfront
123,Investcorp,Xpressbees
123, Norwest Venture Partners,Xpressbees
123, Alibaba Group,Xpressbees
123, Vertex Ventures,Xpressbees
123, New Enterprise Associates,Xpressbees
124,Union Square Ventures,Upgrade
124, Coatue,Upgrade
124, FirstMark,Upgrade
124, G Squared,Upgrade
124, Ribbit Capital,Upgrade
125,Sequoia Capital,SecurityScorecard
125, GV,SecurityScorecard
125, T. Rowe Price,SecurityScorecard
125, AXA Venture Partners,SecurityScorecard
125, Two Sigma Ventures,SecurityScorecard
126,Y Combinator,Veriff
126, Tiger Global Management,Veriff
126, Accel,Veriff
126, Elad Gil,Veriff
126, Ashton Kutcher,Veriff
127,Oregon Venture Fund,The Wild
127, The R-Group,The Wild
127, LLC,The Wild
127, Elevate Capital,The Wild
127, Portland Seed Fund,The Wild
127, Ideaship,The Wild
128,Andreessen Horowitz,Tanium
128, T. Rowe Price,Tanium
128, Baillie Gifford,Tanium
128, TPG,Tanium
128, Fidelity Management and Research Company,Tanium
129,Tiger Global Management,Vedantu
129, Accel,Vedantu
129, Coatue,Vedantu
129, TAL Education Group,Vedantu
129, 9Unicorns Accelerator Fund,Vedantu
130,Sequoia Capital,Thumbtack
130, Tiger Global Management,Thumbtack
130, Draper Associates,Thumbtack
130, Baillie Gifford,Thumbtack
130, G Squared,Thumbtack
131,Insight Partners,Staffbase
131, Headline,Staffbase
131, General Atlantic,Staffbase
131, Capnamic Ventures,Staffbase
131, KIZOO Technology Capital,Staffbase
132,Alumni Ventures,Slingshot Aerospace
132, Techstars,Slingshot Aerospace
132, Draper Associates,Slingshot Aerospace
132, Valor Equity Partners,Slingshot Aerospace
132, Edison Partners,Slingshot Aerospace
133,Bpifrance,Vestiaire Collective
133, Eurazeo,Vestiaire Collective
133, Tiger Global Management,Vestiaire Collective
133, SoftBank Vision Fund,Vestiaire Collective
133, Vitruvian Partners,Vestiaire Collective
134,Goldman Sachs Asset Management,TemperPack
134, SJF Ventures,TemperPack
134, Interplay,TemperPack
134, Revolution,TemperPack
134, Third Prime,TemperPack
135,Careem,SWVL Technologies
135, Autotech Ventures,SWVL Technologies
135, Oman Technology Fund,SWVL Technologies
135, Endeavor Catalyst,SWVL Technologies
135, BECO Capital,SWVL Technologies
136,Human Capital,Studio
136, Floodgate,Studio
136, OVO Fund,Studio
136, Forerunner Ventures,Studio
136, Greenoaks Capital,Studio
137,Digital Currency Group,Yield Guild Games Southeast Asia
137, Animoca Brands,Yield Guild Games Southeast Asia
137, LongHash Ventures,Yield Guild Games Southeast Asia
137, Yield Guild Games,Yield Guild Games Southeast Asia
137, Hashed,Yield Guild Games Southeast Asia
138,Menlo Ventures,Sure
138, ff Venture Capital,Sure
138, WndrCo,Sure
138, Declaration Partners,Sure
138, Expanding Capital,Sure
139,Alumni Ventures,SmartHop
139, Techstars,SmartHop
139, Union Square Ventures,SmartHop
139, Equal Ventures,SmartHop
139, Greycroft,SmartHop
140,Sequoia Capital,Watershed
140, Kleiner Perkins,Watershed
141,i80 | Group,Society Brands
142,Lightspeed Venture Partners,Zscaler
142, CapitalG,Zscaler
142, EquityZen,Zscaler
142, TPG Growth,Zscaler
142, Junipero,Zscaler
143,Intel,Volocopter
143, BlackRock,Volocopter
143, Daimler,Volocopter
143, Honeywell,Volocopter
143, Continental,Volocopter
144,Temasek Holdings,UST
145,Elliott Management,Wipro Technologies
145, MAPE Advisory Group,Wipro Technologies
146,Ocean Azul Partners,Taxfyle
146, IDC Ventures,Taxfyle
146, Fuel Venture Capital,Taxfyle
146, Jonas Tempel,Taxfyle
146, Jeff Randall,Taxfyle
147,Tiger Global Management,Squarespace
147, T. Rowe Price,Squarespace
147, Accel,Squarespace
147, Fidelity Management and Research Company,Squarespace
147, Index Ventures,Squarespace
148,Shopify,Yotpo
148, Tiger Global Management,Yotpo
148, Vertex Ventures,Yotpo
148, Bessemer Venture Partners,Yotpo
148, Innovation Endeavors,Yotpo
149,Westpac,Zip
149, National Australia Bank (NAB),Zip
149, Victory Park Capital,Zip
149, FIIG Securities,Zip
150,Tencent,Tile
150, Francisco Partners,Tile
150, Slow Ventures,Tile
150, Bessemer Venture Partners,Tile
150, Khosla Ventures,Tile
151,Vista Equity Partners,Securonix
151, Eight Roads Ventures,Securonix
151, Volition Capital,Securonix
151, Capital One Ventures,Securonix
152,Tiger Global Management,Starry
152, FirstMark,Starry
152, Kohlberg Kravis Roberts,Starry
152, IAC,Starry
152, Lauder Partners,Starry
153,Union Square Ventures,Slope
153, Global Founders Capital,Slope
153, Monashees,Slope
153, William Hockey,Slope
153, Arash Ferdowsi,Slope
154,Y Combinator,Truora
154, Accel,Truora
154, Magma Partners,Truora
154, Propel Venture Partners,Truora
154, Alex Bouaziz,Truora
155,Accel,Xero
155, Founders Fund,Xero
155, TCV,Xero
155, Valar Ventures,Xero
155, Matrix Capital Management,Xero
156,Citi,Upwork
156, T. Rowe Price,Upwork
156, FirstMark,Upwork
156, Stripes,Upwork
156, New Enterprise Associates,Upwork
157,Fifth Wall,Span.IO
157, FootPrint Coalition,Span.IO
157, Ulu Ventures,Span.IO
157, Wellington Management,Span.IO
157, TDK Ventures,Span.IO
158,Zoom,Theta Lake
158, Wells Fargo,Theta Lake
158, Lightspeed Venture Partners,Theta Lake
158, Neotribe Ventures,Theta Lake
158, Battery Ventures,Theta Lake
159,Insight Partners,Shipium
159, Good Friends,Shipium
159, PSL Ventures,Shipium
159, Trilogy Equity Partners,Shipium
159, Christopher North,Shipium
160,Goldman Sachs,Starling Bank
160, Fidelity Management and Research Company,Starling Bank
160, Qatar Investment Authority,Starling Bank
160, Millennium Management,Starling Bank
160, Harald McPike,Starling Bank
161,Shasta Ventures,Tonal
161, Bolt,Tonal
161, Serena Ventures,Tonal
161, L Catterton,Tonal
161, Mayfield Fund,Tonal
162,Silver Lake,SenseTime
162, CICC,SenseTime
162, IDG Capital,SenseTime
162, Qualcomm,SenseTime
162, Tiger Global Management,SenseTime
163,Andreessen Horowitz,Workrise
163, BoxGroup,Workrise
163, Baillie Gifford,Workrise
163, Founders Fund,Workrise
163, Recharge Thematic Ventures,Workrise
164,Ola,Vogo
164, Kalaari Capital,Vogo
164, Lightrock,Vogo
164, Matrix Partners India,Vogo
164, Stellaris Venture Partners,Vogo
165,Citibank,The Walt Disney Company
166,Tencent,Spotify
166, Goldman Sachs,Spotify
166, TPG,Spotify
166, Accel,Spotify
166, Fidelity,Spotify
167,Y Combinator,Skill Lync
167, Better Capital,Skill Lync
167, Iron Pillar,Skill Lync
167, Binny Bansal,Skill Lync
167, Saikiran Krishnamurthy,Skill Lync
168,Y Combinator,Stilt
168, Silicon Valley Bank,Stilt
168, Bragiel Brothers,Stilt
168, Streamlined Ventures,Stilt
168, Link Ventures,Stilt
169,Andreessen Horowitz,Whatnot
169, Y Combinator,Whatnot
169, Liquid 2 Ventures,Whatnot
169, CapitalG,Whatnot
169, Animal Capital,Whatnot
170,Techstars,Vested Finance
170, Venture Catalysts,Vested Finance
170, Inflection Point Ventures,Vested Finance
170, 9Unicorns Accelerator Fund,Vested Finance
170, Ankur Warikoo,Vested Finance
171,Greylock,Snorkel AI
171, GV,Snorkel AI
171, BlackRock,Snorkel AI
171, Accel,Snorkel AI
171, Lightspeed Venture Partners,Snorkel AI
172,Access Industries,Selina
172, Adam Neumann,Selina
172, IDB Invest,Selina
172, Abraaj Group,Selina
172, Blue like an Orange Sustainable Capital,Selina
173,Warburg Pincus,Zimperium
173, SoftBank,Zimperium
173, Sierra Ventures,Zimperium
173, Telstra Ventures,Zimperium
173, Samsung NEXT,Zimperium
174,Sequoia Capital,Streamlit
174, Elad Gil,Streamlit
174, Gradient Ventures,Streamlit
174, GGV Capital,Streamlit
174, Bloomberg Beta,Streamlit
175,Y Combinator,Shipper
175, Sequoia Capital India,Shipper
175, Lightspeed Venture Partners,Shipper
175, Insignia Ventures Partners,Shipper
175, Prosus Ventures,Shipper
176,Alto Partners Multi-Family Office,Snapchat
177,General Atlantic,unico IDtech
177, SOFTBANK Latin America Ventures,unico IDtech
177, big_bets,unico IDtech
177, GS Growth,unico IDtech
177, Igah Ventures.,unico IDtech
178,Vertex Ventures,SES
178, MassVentures,SES
178, Temasek Holdings,SES
178, Applied Materials,SES
178, General Motors,SES
179,SoftBank,Treasure Data
179, Sierra Ventures,Treasure Data
179, Scale Venture Partners,Treasure Data
179, AME Cloud Ventures,Treasure Data
179, SBI Group,Treasure Data
180,SoftBank,ShipBob
180, Wefunder,ShipBob
180, FundersClub,ShipBob
180, Y Combinator,ShipBob
180, SoftBank Vision Fund,ShipBob
181,Sequoia Capital,Wiz
181, Insight Partners,Wiz
181, Index Ventures,Wiz
181, Salesforce,Wiz
181, Cyberstarts,Wiz
182,Insight Partners,UserTesting
182, Accel,UserTesting
182, Scottish Enterprise,UserTesting
182, Greenspring Associates,UserTesting
182, Bradley Horowitz,UserTesting
183,OurCrowd,Wave
183, Initialized Capital,Wave
183, OMERS Ventures,Wave
183, RBC Capital,Wave
183, HarbourVest Partners,Wave
184,Northern Arc,slice
184, Vivriti Capital,slice
184, Insight Partners,slice
184, Tiger Global Management,slice
184, InCred,slice
185,Tiger Global Management,Wiz Freight
185, Axilor Ventures,Wiz Freight
185, Foundamental,Wiz Freight
185, Alteria Capital,Wiz Freight
185, Ramakant Sharma,Wiz Freight
186,Gradient Ventures,Sona
186, Speedinvest,Sona
186, Maximilian Bittner,Sona
186, Novator,Sona
186, Tom Blomfield,Sona
187,General Catalyst,TravelPerk
187, Spark Capital,TravelPerk
187, Felix Capital,TravelPerk
187, Latitude,TravelPerk
187, LocalGlobe,TravelPerk
188,SenseTime,WeRide
188, IDG Capital,WeRide
188, The Carlyle Group,WeRide
188, Bosch,WeRide
188, Qiming Venture Partners,WeRide
189,Goldman Sachs,Terran Orbital
189, Lockheed Martin Ventures,Terran Orbital
189, Beach Point Capital Management,Terran Orbital
190,Andreessen Horowitz,Sift
190, Spark Capital,Sift
190, Glassdoor,Sift
190, Union Square Ventures,Sift
190, Insight Partners,Sift
191,Techstars,Upsie
191, Village Capital,Upsie
191, Right Side Capital Management,Upsie
191, Kapor Capital,Upsie
191, Silicon Valley Bank,Upsie
192,Alumni Ventures,Thirty Madison
192, Gaingels,Thirty Madison
