Organization Name,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
Youth Business International,"London, England, United Kingdom",Active,Non-profit,1.0,1.0,,1.0,1.0,1.0,"Community and Lifestyle, Education, Internet Services, Media and Entertainment, Other, Professional Services","Association, Communities, Consulting, Education, Non Profit, Social Media",1.0,,2018-10-02,6000000.0,USD,6000000.0,Grant,,,,,6000000.0,USD,6000000.0,,510,"4,122.33",81.0,87074.0,USD,87074.0,Accenture
Wamda Capital,"Dubai, Dubai, United Arab Emirates",Active,,95.0,29.0,2.0,4.0,,1.0,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",1.0,,2015-01-01,,,,Undisclosed,Undisclosed,,,,,,,4.0,856,,84.0,,,,Banvest
Universal Materials Incubator,,Active,For Profit,18.0,5.0,3.0,1.0,1.0,1.0,"Financial Services, Lending and Investments, Manufacturing, Science and Engineering","Chemical, Incubators, Industrial Manufacturing, Venture Capital",1.0,,2016-01-04,20000000.0,JPY,167342.0,Venture - Series Unknown,Venture - Series Unknown,20000000.0,JPY,167342.0,20000000.0,JPY,167343.0,,,,,,,,Innovation Network Corporation of Japan
TLV Partners,"Tel Aviv, Tel Aviv, Israel",Active,,78.0,31.0,4.0,6.0,1.0,1.0,"Financial Services, Lending and Investments, Other","B2B, Financial Services, Venture Capital",1.0,,2016-06-25,,,,Venture - Series Unknown,Venture - Series Unknown,,,,,,,,,,,,,,Wipro Ventures
Sixth Street,"San Francisco, California, United States",Active,,35.0,24.0,4.0,8.0,1.0,1.0,"Financial Services, Lending and Investments, Professional Services","Asset Management, Business Development, Finance, Financial Services, Funding Platform",1.0,Private Equity,2017-04-11,,,,Private Equity,Private Equity,,,,,,,,2.777,,0.0,,,,Dyal Capital Partners
Tikehau Capital,"Paris, Ile-de-France, France",Active,,124.0,102.0,,57.0,1.0,1.0,"Financial Services, Lending and Investments",Venture Capital,1.0,Private Equity,2019-05-20,,,,Private Equity,Private Equity,,,,,,,,35.926,"64,068.5",80.0,,,,Morgan Stanley
The New York Times,"New York, New York, United States",Active,For Profit,36.0,3.0,5.0,11.0,,1.0,"Advertising, Content and Publishing, Internet Services, Media and Entertainment, Sales and Marketing","Advertising, Internet, News, Publishing",1.0,IPO,2009-01-20,250000000.0,USD,250000000.0,Post-IPO Debt,,,,,250000000.0,USD,250000000.0,14.0,"1,038,439,738","482,569,795.67",856.0,,,,Carlos Slim
Trestle,"San Francisco, California, United States",Closed,For Profit,,,,,1.0,1.0,"Data and Analytics, Information Technology, Internet Services, Software","Business Intelligence, Information Technology, Internet, Search Engine, Software",1.0,Seed,2019-03-18,150000.0,USD,150000.0,Pre-Seed,Pre-Seed,150000.0,USD,150000.0,150000.0,USD,150000.0,,,,,,,,Y Combinator
Venovate,"San Diego, California, United States",Active,For Profit,1.0,1.0,,,,1.0,"Commerce and Shopping, Financial Services","Crowdfunding, Financial Services, FinTech, Marketplace",1.0,M&A,2014-01-01,,,,Seed,Seed,,,,,,,,,,,,,,9+ Program
Intel,"Santa Clara, California, United States",Active,For Profit,70.0,15.0,6.0,32.0,,3.0,"Artificial Intelligence, Data and Analytics, Design, Information Technology, Science and Engineering, Software","Artificial Intelligence, Information Technology, Product Design, Software",2.0,IPO,2021-02-22,10000000.0,USD,10000000.0,Post-IPO Equity,Post-IPO Equity,10000000.0,USD,10000000.0,12510000.0,USD,12510000.0,497.0,"35,327,997","29,044,559.17",767.0,5883534744.0,USD,5883534744.0,"Venrock, Arthur Rock & Co, Max Palevsky"
Ramp,"New York, New York, United States",Active,For Profit,4.0,,,,5.0,40.0,Financial Services,"Finance, Financial Services, FinTech",8.0,Late Stage Venture,2022-03-21,550000000.0,USD,550000000.0,Debt Financing,Series C,200000000.0,USD,200000000.0,1360000000.0,USD,1360000000.0,,"1,045,453","459,041.83",491.0,,,,"Apple, Citi, Stripe, Flexport, Spark Capital"
Nykaa,"Mumbai, Maharashtra, India",Active,For Profit,1.0,1.0,,,6.0,15.0,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Consumer Goods, Design, Health Care","Beauty, E-Commerce, Fashion, Lifestyle, Wellness",13.0,IPO,2020-11-26,,,,Secondary Market,Series F,2600000.0,USD,2600000.0,148458615.0,USD,148458615.0,,"5,896,359","15,280,776.67",543.0,,,,"Fidelity Management and Research Company, Steadview Capital, Lighthouse Funds, TPG Growth, Max Ventures and Industries"
Liquidity,"New York, New York, United States",Active,For Profit,36.0,7.0,4.0,1.0,2.0,4.0,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",3.0,,2022-04-05,725000000.0,USD,725000000.0,Debt Financing,Undisclosed,50000000.0,USD,50000000.0,795000000.0,USD,795000000.0,,5.186,"9,566.17",39.0,,,,"Apollo, Spark Capital, MUFG Bank, MUFG Innovation Partners"
MoonPay,"Miami, Florida, United States",Active,For Profit,3.0,,,,2.0,84.0,"Financial Services, Mobile, Payments, Software","Financial Services, FinTech, Mobile Payments",2.0,Early Stage Venture,2022-04-13,87000000.0,USD,87000000.0,Series A,Series A,87000000.0,USD,87000000.0,642000000.0,USD,642000000.0,1.0,"1,667,436","983,846.83",853.0,,,,"Eric Eisner, Revels Group Ventures, Gibson Hazard, Brie Larson, Vivie-ann Bakos"
Grover,"Berlin, Berlin, Germany",Active,For Profit,,,,,8.0,25.0,"Commerce and Shopping, Consumer Electronics, Hardware, Other","Consumer Electronics, E-Commerce, Rental, Subscription Service",16.0,Late Stage Venture,2022-04-07,220000000.0,USD,220000000.0,Debt Financing,Series C,110000000.0,USD,110000000.0,1999121428.0,USD,1999121428.0,5.0,"3,379,933","2,860,181.33",561.0,11040091.0,USD,11040091.0,"Seedcamp, Global Founders Capital, Augmentum Fintech, LG Group, Energy Impact Partners"
Lyft,"San Francisco, California, United States",Active,For Profit,3.0,2.0,1.0,,13.0,79.0,"Apps, Mobile, Software, Transportation","Mobile Apps, Ride Sharing, Software, Transportation",27.0,IPO,2019-03-01,,,,Secondary Market,Series I,600000000.0,USD,600000000.0,4913606778.0,USD,4913606778.0,46.0,"21,819,249","15,297,238.67",548.0,53002220.0,USD,53002220.0,"Tencent, Andreessen Horowitz, Rakuten, Alibaba Group, M13"
HP,"Palo Alto, California, United States",Active,For Profit,28.0,6.0,,13.0,1.0,1.0,"Consumer Electronics, Hardware, Information Technology, Software","Computer, Consumer Electronics, Hardware, IT Infrastructure, Software",1.0,IPO,2022-04-07,4200000000.0,USD,4200000000.0,Post-IPO Equity,Post-IPO Equity,4200000000.0,USD,4200000000.0,4200000000.0,USD,4200000000.0,159.0,"102,733,342","80,897,909",535.0,216495.0,USD,216495.0,Berkshire Hathaway
Polygon,"Bengaluru, Karnataka, India",Active,For Profit,7.0,,1.0,,3.0,42.0,"Information Technology, Other","Blockchain, Ethereum, Information Technology, Infrastructure",5.0,,2022-02-07,450000000.0,USD,450000000.0,Venture - Series Unknown,Venture - Series Unknown,450000000.0,USD,450000000.0,450450000.0,USD,450450000.0,1.0,246.849,"242,487.33",596.0,,,,"Animoca Brands, Digital Currency Group, Galaxy Digital, Celsius Network, Voodoo"
Meta,"Menlo Park, California, United States",Active,For Profit,42.0,21.0,4.0,,11.0,27.0,"Hardware, Internet Services, Media and Entertainment, Software","Augmented Reality, Social Media, Social Network, Virtual Reality",16.0,IPO,2014-10-20,13787117488.0,USD,13787117488.0,Post-IPO Equity,Post-IPO Equity,13787117488.0,USD,13787117488.0,16122817488.0,USD,16122817488.0,239.0,"10,233,543,352","11,284,041,410.67",1.314,12894749914.0,USD,12894749914.0,"Microsoft, Greylock, Tiger Global Management, Accel, Founders Fund"
NVIDIA,"Santa Clara, California, United States",Active,For Profit,25.0,7.0,1.0,4.0,3.0,5.0,"Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Science and Engineering, Software","Artificial Intelligence, GPU, Hardware, Software, Virtual Reality, Virtualization",4.0,IPO,2017-05-24,10000000.0,USD,10000000.0,Private Equity,Private Equity,10000000.0,USD,10000000.0,35000000.0,USD,35000000.0,138.0,"55,989,158","54,557,897.83",420.0,1259942490.0,USD,1259942490.0,"Sequoia Capital, SoftBank Vision Fund, TriplePoint Capital, DARPA, Jean Abrial"
NYDIG,"New York, New York, United States",Active,For Profit,12.0,7.0,,5.0,10.0,17.0,"Financial Services, Other, Payments, Software","Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech",8.0,Private Equity,2021-12-14,1000000000.0,USD,1000000000.0,Private Equity,Private Equity,1000000000.0,USD,1000000000.0,1405000000.0,USD,1405000000.0,1.0,103.073,35.512,77.0,,,,"Morgan Stanley, Affirm, Bessemer Venture Partners, MassMutual, Ribbit Capital"
Pensando,"Milpitas, California, United States",Active,For Profit,,,,,3.0,4.0,"Hardware, Information Technology, Internet Services, Privacy and Security, Software","Cloud Computing, Cloud Infrastructure, Cloud Security, Enterprise Software, Network Hardware",5.0,M&A,2021-08-02,35000000.0,USD,35000000.0,Series C,Series C,35000000.0,USD,35000000.0,313000000.0,USD,313000000.0,,30.68,"25,754.5",593.0,,,,"Goldman Sachs, Qualcomm Ventures, Lightspeed Venture Partners, Hewlett Packard Enterprise"
Rapido,"Bangalore, Karnataka, India",Active,For Profit,,,,,10.0,37.0,"Apps, Information Technology, Mobile, Software, Transportation","Information Services, Logistics, Mobile Apps, Taxi Service, Transportation",10.0,Late Stage Venture,2022-04-15,180000000.0,USD,180000000.0,Series D,Series D,180000000.0,USD,180000000.0,310278460.0,USD,310278460.0,,310.924,235.187,339.0,,,,"Swiggy, Nexus Venture Partners, Shunwei Capital, Kunal Shah, Shell Ventures"
Lenovo,"Beijing, Beijing, China",Active,For Profit,26.0,7.0,1.0,2.0,,6.0,"Consumer Electronics, Hardware, Mobile","Computer, Electronics, Hardware, Mobile",3.0,IPO,2017-10-03,500000000.0,USD,500000000.0,Post-IPO Equity,Post-IPO Equity,500000000.0,USD,500000000.0,850025000.0,USD,850025000.0,144.0,"53,197,854","62,482,789",587.0,,,,"TPG, General Atlantic, Legend Holdings, Chinese Academy Of Sciences, The Parent Company"
Pine Labs,"Noida, Uttar Pradesh, India",Active,For Profit,1.0,1.0,,1.0,12.0,26.0,"Financial Services, Payments","Financial Services, FinTech, Payments",13.0,Private Equity,2022-03-29,50000000.0,USD,50000000.0,Private Equity,Private Equity,50000000.0,USD,50000000.0,1178363529.0,USD,1178363529.0,,76.566,"168,418.83",288.0,,,,"Flipkart, Invesco, Mastercard, BlackRock, Temasek Holdings"
GupShup,"San Francisco, California, United States",Active,For Profit,,,,,5.0,16.0,"Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing, Software","CRM, Information Technology, Messaging",8.0,Late Stage Venture,2021-07-28,240000000.0,USD,240000000.0,Series F,Series F,240000000.0,USD,240000000.0,384130000.0,USD,384130000.0,6.0,342.498,"200,508.83",271.0,448658.0,USD,448658.0,"Tiger Global Management, Fidelity Management and Research Company, Shane Neman, CRV, Think Investments"
GrubMarket,"San Francisco, California, United States",Active,For Profit,,,,,5.0,66.0,"Commerce and Shopping, Food and Beverage, Hardware, Internet Services, Sales and Marketing, Software","E-Commerce, Grocery, Internet, Marketing, Retail Technology",11.0,,2022-01-01,,,,Venture - Series Unknown,Venture - Series Unknown,,,,379100000.0,USD,379100000.0,1.0,85.378,"37,071.33",274.0,596961.0,USD,596961.0,"Alumni Ventures, Trinity Capital, Gaingels, Y Combinator, Tiger Global Management"
Okta,"San Francisco, California, United States",Active,For Profit,1.0,,,,3.0,17.0,"Information Technology, Privacy and Security, Sales and Marketing, Software","CRM, Enterprise Software, Identity Management, Management Information Systems",9.0,IPO,2020-06-08,1000000000.0,USD,1000000000.0,Post-IPO Equity,Post-IPO Equity,1000000000.0,USD,1000000000.0,1229250000.0,USD,1229250000.0,87.0,"150,698,497","128,457,029.5",542.0,120351864.0,USD,120351864.0,"Sequoia Capital, Andreessen Horowitz, Greylock, Khosla Ventures, Floodgate"
Niantic,"San Francisco, California, United States",Active,For Profit,3.0,,,,4.0,21.0,"Gaming, Hardware, Software","Augmented Reality, Software, Video Games, Virtual Reality",5.0,Late Stage Venture,2021-11-22,300000000.0,USD,300000000.0,Series D,Series D,300000000.0,USD,300000000.0,770000000.0,USD,770000000.0,3.0,"16,457,942","12,446,161.83",880.0,869981.0,USD,869981.0,"Google, Spark Capital, Coatue, Founders Fund, Nintendo"
Nothing,"London, England, United Kingdom",Active,For Profit,,,,,3.0,21.0,"Consumer Electronics, Hardware, Information Technology, Other, Software","Consumer, Consumer Electronics, Consumer Software, Information Technology",5.0,Early Stage Venture,2022-03-09,70000000.0,USD,70000000.0,Series B,Series B,70000000.0,USD,70000000.0,143276873.0,USD,143276873.0,,"1,240,509",443.247,184.0,,,,"Animoca Brands, Crowdcube, GV, Kevin Lin, EQT Ventures"
Republic,"New York, New York, United States",Active,For Profit,38.0,7.0,8.0,,4.0,35.0,"Financial Services, Lending and Investments, Payments, Software","Crowdfunding, Cryptocurrency, Financial Services, Venture Capital",12.0,Early Stage Venture,2021-11-12,,,,Series B,Series B,,,,214025000.0,USD,214025000.0,3.0,862.266,525.068,568.0,,,,"Gaingels, Tribe Capital, Binance, Ceras Ventures, Valor Equity Partners"
Kaseya,"Dublin, Dublin, Ireland",Active,For Profit,,,,,4.0,5.0,"Information Technology, Other, Privacy and Security, Software","Cyber Security, Enterprise, SaaS, Security, Software",4.0,Private Equity,2019-05-03,500000000.0,USD,500000000.0,Private Equity,Private Equity,500000000.0,USD,500000000.0,544777315.0,USD,544777315.0,16.0,934.747,"736,730.17",1.293,,,,"Insight Partners, TPG, Ireland Strategic Investment Fund, Whitman Capital, Kanwal Rekhi"
PhableCare,"Bangalore, Karnataka, India",Active,For Profit,,,,,11.0,19.0,"Apps, Health Care, Mobile, Software","Health Care, Mobile Apps, Personal Health, Wellness",9.0,Early Stage Venture,2022-04-11,1870000000.0,INR,24657643.0,Series B,Series B,1870000000.0,INR,24657643.0,40231579.0,USD,40231579.0,,124.138,"57,009.83",151.0,,,,"LetsVenture, Kalaari Capital, Inflection Point Ventures, Google for Startups, 91springboard"
Grafana Labs,"New York, New York, United States",Active,For Profit,,,,,4.0,6.0,"Data and Analytics, Design, Information Technology, Internet Services, Software","Cloud Data Services, Data Visualization, Open Source, Software",5.0,Late Stage Venture,2022-04-06,240000000.0,USD,240000000.0,Series D,Series D,240000000.0,USD,240000000.0,535230000.0,USD,535230000.0,8.0,"2,499,962","2,462,631.5",507.0,116278.0,USD,116278.0,"JP Morgan, Sequoia Capital, Coatue, Lightspeed Venture Partners, GIC"
Ola Electric,"Bengaluru, Karnataka, India",Active,For Profit,1.0,1.0,,,10.0,19.0,"Manufacturing, Sales and Marketing, Sustainability, Transportation","Automotive, Electric Vehicle, Manufacturing, Sales, Sustainability",9.0,,2022-01-24,15000000000.0,INR,200951034.0,Venture - Series Unknown,Venture - Series Unknown,15000000000.0,INR,200951034.0,861166503.0,USD,861166503.0,,"1,416,636","914,484.83",749.0,,,,"SoftBank, Tiger Global Management, Temasek Holdings, Alpha Wave Global, Matrix Partners India"
PhonePe,"Andheri, Maharashtra, India",Active,For Profit,,,,,2.0,4.0,"Financial Services, Internet Services, Mobile, Other, Payments, Professional Services, Software","Customer Service, FinTech, Internet, Mobile Payments, Payments",13.0,M&A,2021-08-18,350000000.0,USD,350000000.0,Corporate Round,Corporate Round,350000000.0,USD,350000000.0,1743825864.0,USD,1743825864.0,,"3,222,101","4,173,734.33",447.0,,,,"Tencent, Flipkart, Tiger Global Management, Walmart"
Laiye,"Beijing, Beijing, China",Active,For Profit,,,,,8.0,15.0,"Apps, Artificial Intelligence, Data and Analytics, Financial Services, Internet Services, Mobile, Other, Payments, Science and Engineering, Software","Apps, Artificial Intelligence, Enterprise, Internet, Mobile, Mobile Apps, Mobile Payments, Natural Language Processing",8.0,Late Stage Venture,2022-04-18,70000000.0,USD,70000000.0,Series C,Series C,70000000.0,USD,70000000.0,201000000.0,USD,201000000.0,,48.897,"96,388.67",687.0,,,,"Microsoft, Lightspeed Venture Partners, Sequoia Capital China, Cathay Innovation, Lightspeed China Partners"
LinkSquares,"Boston, Massachusetts, United States",Active,For Profit,,,,,5.0,14.0,"Artificial Intelligence, Data and Analytics, Professional Services, Science and Engineering, Software","Artificial Intelligence, Legal Tech, Machine Learning, Productivity Tools, Software",6.0,Late Stage Venture,2022-04-04,100000000.0,USD,100000000.0,Series C,Series C,100000000.0,USD,100000000.0,161469800.0,USD,161469800.0,,14.543,"32,093.67",66.0,89459.0,USD,89459.0,"Xerox, Jump Capital, G Squared, Hyperplane Venture Capital, Touchdown Ventures"
Handshake,"San Francisco, California, United States",Active,For Profit,,,,,8.0,20.0,"Administrative Services, Education, Professional Services","College Recruiting, Employment, Human Resources, Recruiting",7.0,Late Stage Venture,2022-01-19,200000000.0,USD,200000000.0,Series F,Series F,200000000.0,USD,200000000.0,434000000.0,USD,434000000.0,2.0,"8,703,767","8,442,306.83",564.0,2322408.0,USD,2322408.0,"Spark Capital, Reach Capital, Coatue, Lightspeed Venture Partners, EQT Ventures"
LayerZero Labs,"Vancouver, British Columbia, Canada",Active,For Profit,,,,,5.0,24.0,Other,Blockchain,3.0,Early Stage Venture,2022-03-30,135000000.0,USD,135000000.0,Series A,Series A,135000000.0,USD,135000000.0,143300000.0,USD,143300000.0,,11.413,"4,490.67",0.0,,,,"Gemini, Polygon, Sequoia Capital, Andreessen Horowitz, Dapper Labs"
Puppet,"Portland, Oregon, United States",Active,For Profit,,,,,8.0,13.0,"Data and Analytics, Hardware, Information Technology, Software","Application Performance Management, Data Center Automation, Information Services, Information Technology, IT Infrastructure, Software",8.0,M&A,2020-07-16,40000000.0,USD,40000000.0,Debt Financing,Series F,42000000.0,USD,42000000.0,189500000.0,USD,189500000.0,71.0,294.173,"391,692.33",531.0,13663614.0,USD,13663614.0,"GV, BlackRock, Cisco, Kleiner Perkins, Silicon Valley Bank"
OpenAI,"San Francisco, California, United States",Active,,,,,,1.0,3.0,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software","Artificial Intelligence, Machine Learning",2.0,,2019-07-23,1000000000.0,USD,1000000000.0,Corporate Round,Corporate Round,1000000000.0,USD,1000000000.0,1000120000.0,USD,1000120000.0,3.0,"2,584,874","1,877,834.33",505.0,,,,"Microsoft, Y Combinator, Khosla Ventures"
Pipefy,"San Francisco, California, United States",Active,For Profit,,,,,4.0,21.0,"Information Technology, Sales and Marketing, Software","Information Technology, Marketing Automation, SaaS, Sales Automation, Software",6.0,Late Stage Venture,2021-10-26,75000000.0,USD,75000000.0,Series C,Series C,75000000.0,USD,75000000.0,138737500.0,USD,138737500.0,1.0,"3,850,863","972,874.67",2.652,,,,"500 Startups, FundersClub, Insight Partners, Asymmetry Ventures, Founders Fund"
Porsche,"Stuttgart, Baden-Wurttemberg, Germany",Active,For Profit,7.0,3.0,1.0,,1.0,1.0,"Manufacturing, Sports, Transportation","Automotive, Manufacturing, Sports",1.0,M&A,2018-12-17,150000000.0,EUR,170252564.0,Debt Financing,,,,,150000000.0,EUR,170252564.0,20.0,"9,683,912","9,215,861.17",422.0,4187787.0,USD,4187787.0,Banco Bilbao Vizcaya Argentaria
IndiaMART,"Noida, Uttar Pradesh, India",Active,For Profit,13.0,6.0,,1.0,3.0,10.0,"Commerce and Shopping, Other, Transportation","B2B, E-Commerce, Marketplace, Procurement, Small and Medium Businesses",4.0,IPO,2019-06-24,2136000000.0,INR,30839799.0,Venture - Series Unknown,Venture - Series Unknown,2136000000.0,INR,30839799.0,40839800.0,USD,40839800.0,,"49,292,565","43,760,357.5",515.0,,,,"Quona Capital, Elevation Capital, WestBridge Capital, Intel Capital, Amadeus Capital Partners"
Mondu,"Berlin, Berlin, Germany",Active,For Profit,,,,,2.0,3.0,"Financial Services, Lending and Investments, Other","B2B, Commercial Lending, Financial Services, FinTech",2.0,Seed,2022-04-20,,,,Seed,Seed,,,,14000000.0,USD,14000000.0,,2.672,"2,842.17",7.0,,,,"Cherry Ventures, Discovery Ventures, FinTech Collective"
NIO,"Shanghai, Shanghai, China",Active,For Profit,,,,,12.0,29.0,"Consumer Electronics, Hardware, Manufacturing, Transportation","Automotive, Autonomous Vehicles, Electric Vehicle, Electronics, Manufacturing, Transportation",10.0,IPO,2020-04-29,1000000000.0,USD,1000000000.0,Post-IPO Equity,Post-IPO Equity,1000000000.0,USD,1000000000.0,5434271280.0,USD,5434271280.0,4.0,876.816,718.524,405.0,,,,"Tencent, Lenovo, IDG Capital, Hillhouse Capital Group, Baillie Gifford"
Qonto,"Paris, Ile-de-France, France",Active,For Profit,,,,,6.0,18.0,"Financial Services, Lending and Investments, Payments","Banking, Financial Services, FinTech, Payments",6.0,,2022-04-21,5000000.0,EUR,5417611.0,Equity Crowdfunding,Equity Crowdfunding,5000000.0,EUR,5417611.0,709348021.0,USD,709348021.0,,"2,230,574","2,021,703.17",1.069,,,,"Tencent, Gaingels, Eurazeo, Insight Partners, Tiger Global Management"
Netflix,"Los Gatos, California, United States",Active,For Profit,3.0,,,1.0,4.0,8.0,"Content and Publishing, Media and Entertainment, Video","Digital Entertainment, Media and Entertainment, TV, Video Streaming",13.0,IPO,2018-05-05,2666198.0,USD,2666198.0,Post-IPO Debt,Series E,50025952.0,USD,50025952.0,121908000000.0,USD,121908000000.0,37.0,"872,076,095","1,026,494,647.83",560.0,1002235362.0,USD,1002235362.0,"Institutional Venture Partners, TCV, Foundation Capital, Groupe Arnault, Comdisco Ventures"
Helium,"San Francisco, California, United States",Active,For Profit,,,,,6.0,29.0,"Financial Services, Hardware, Internet Services, Mobile, Other, Payments, Software","Blockchain, Cryptocurrency, Internet of Things, Telecommunications, Wireless",7.0,Late Stage Venture,2022-02-19,200000000.0,USD,200000000.0,Series D,Series D,200000000.0,USD,200000000.0,364800000.0,USD,364800000.0,7.0,"22,713,650","9,739,192",1.896,671155.0,USD,671155.0,"Andreessen Horowitz, Liberty Global, Union Square Ventures, Tiger Global Management, GV"
MURAL,"San Francisco, California, United States",Active,For Profit,,,,,6.0,15.0,"Design, Other, Software","Collaboration, Enterprise Software, Product Design, Software",5.0,Late Stage Venture,2021-07-20,50000000.0,USD,50000000.0,Series C,Series C,50000000.0,USD,50000000.0,192275000.0,USD,192275000.0,15.0,"3,437,630","3,591,234.83",516.0,782814.0,USD,782814.0,"500 Startups, Insight Partners, Tiger Global Management, Gradient Ventures, Slack Fund"
ICICI Bank,"Mumbai, Maharashtra, India",Active,For Profit,23.0,10.0,,3.0,2.0,2.0,"Financial Services, Lending and Investments","Banking, Financial Services, Personal Finance",3.0,IPO,2021-12-17,50000000000.0,INR,657440583.0,Post-IPO Debt,Series A,,,,659451937.0,USD,659451937.0,1.0,"40,724,714","55,255,520.83",558.0,,,,"People's Bank of China, Prathmesh Madival"
NEAR Protocol,"San Francisco, California, United States",Active,For Profit,,,,,6.0,36.0,"Information Technology, Other, Software","Blockchain, Information Technology, Software",8.0,,2022-04-07,350000000.0,USD,350000000.0,Undisclosed,Undisclosed,350000000.0,USD,350000000.0,533700000.0,USD,533700000.0,3.0,"2,482,522","2,357,362.33",1.147,,,,"Amber Group, Hashed, Tiger Global Management, ParaFi Capital, Coinbase Ventures"
Hourwork,"Boston, Massachusetts, United States",Active,For Profit,,,,,2.0,9.0,"Administrative Services, Professional Services","Employment, Human Resources, Recruiting",4.0,Early Stage Venture,2022-03-28,10000000.0,USD,10000000.0,Series A,Series A,10000000.0,USD,10000000.0,13799106.0,USD,13799106.0,,284.65,,706.0,,,,"Morgan Stanley, OneValley, MassVentures, MassMutual, York IE"
Pax8,"Greenwood Village, Colorado, United States",Active,For Profit,,,,,4.0,7.0,"Commerce and Shopping, Information Technology, Internet Services, Other, Software","Cloud Management, Enterprise Software, Infrastructure, Marketplace",9.0,,2022-04-11,185000000.0,USD,185000000.0,Venture - Series Unknown,Venture - Series Unknown,185000000.0,USD,185000000.0,350520000.0,USD,350520000.0,10.0,173.034,206.397,383.0,14114579.0,USD,14114579.0,"SoftBank Vision Fund, Avenir Growth Capital, Blue Cloud Ventures, Catalyst Investors, Sageview Capital"
JULO,"Jakarta, Jakarta Raya, Indonesia",Active,For Profit,,,,,4.0,12.0,"Financial Services, Lending and Investments","Consumer Lending, Credit, Finance, Financial Services, FinTech, Lending",6.0,,2022-04-13,50000000.0,USD,50000000.0,Debt Financing,Corporate Round,30000000.0,USD,30000000.0,155000000.0,USD,155000000.0,,"1,322,922","245,257.83",364.0,,,,"Quona Capital, East Ventures, Gobi Partners, Skystar Capital, Credit Saison"
Improbable,"London, England, United Kingdom",Active,For Profit,1.0,,,,5.0,10.0,"Community and Lifestyle, Gaming, Information Technology, Media and Entertainment, Software","Gamification, Gaming, Information Technology, Software, Virtual World",6.0,,2018-07-26,50000000.0,USD,50000000.0,Corporate Round,Corporate Round,50000000.0,USD,50000000.0,604094860.0,USD,604094860.0,5.0,88.479,"59,633.83",521.0,13869977.0,USD,13869977.0,"Andreessen Horowitz, SoftBank Vision Fund, Temasek Holdings, Horizons Ventures, NetEase"
Razer,"San Francisco, California, United States",Active,For Profit,5.0,3.0,,2.0,5.0,5.0,"Consumer Electronics, Design, Gaming, Hardware, Mobile, Platforms, Software","Consumer Electronics, Gaming, iOS, Product Design, Software",4.0,IPO,2017-05-15,75000000.0,USD,75000000.0,Venture - Series Unknown,Venture - Series Unknown,75000000.0,USD,75000000.0,200000000.0,USD,200000000.0,8.0,"21,550,851","19,109,419.83",512.0,,,,"IDG Capital, Accel, Horizons Ventures, Intel Capital, Lianluo"
Maude,"Brooklyn, New York, United States",Active,For Profit,,,,,4.0,23.0,"Commerce and Shopping, Consumer Goods, Health Care","Consumer Goods, E-Commerce, Health Care, Personal Health, Wellness",4.0,Early Stage Venture,2021-06-29,5800000.0,USD,5800000.0,Series A,Series A,5800000.0,USD,5800000.0,10050000.0,USD,10050000.0,,389.861,"298,350.83",250.0,,,,"RRE Ventures, WME, Outbound Ventures, True., CASSIUS Family"
OYO,"Gurgaon, Haryana, India",Active,For Profit,1.0,,,,12.0,28.0,Travel and Tourism,"Hospitality, Travel, Travel Accommodations",22.0,Late Stage Venture,2022-01-13,2300000000.0,INR,31092655.0,Secondary Market,Series F,5000000.0,USD,5000000.0,3076477508.0,USD,3076477508.0,1.0,"3,353,272","4,076,121.33",529.0,,,,"SoftBank, Microsoft, Airbnb, Grab, SoftBank Vision Fund"
Omnipresent,"London, England, United Kingdom",Active,For Profit,,,,,4.0,13.0,"Administrative Services, Information Technology, Professional Services, Software","Employment, Human Resources, Management Information Systems, Recruiting, SaaS",3.0,Early Stage Venture,2022-03-22,120000000.0,USD,120000000.0,Series B,Series B,120000000.0,USD,120000000.0,137800000.0,USD,137800000.0,,73.842,"54,130.67",284.0,,,,"Tencent, Entrepreneur First, Episode 1, TrueSight Ventures, Playfair Capital"
